,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,log10_pvalue
EIF3E,0.7204,0.27959999999999996,0.9464465810579447,0.0025131647,0.0024762708,0.0,0.25,-0.08208895,-0.073474884,0.7075005,-2.6868758,2.4784298,1.7019455,6.5692306,0.7260700389105058,0.9435897435897436,23.418873,24.098051,False,NK cell vs cDC,NK cell,cDC,0.5534628329263562
PTMA,0.7188,0.2812,0.9385169733230927,0.015583215,0.012078213,0.0,0.25,0.37045753,0.3802817,0.27106765,-0.8273225,1.5915117,11.594553,34.34359,0.9914396887159533,0.9948717948717949,160.7079,126.40598,False,NK cell vs cDC,NK cell,cDC,0.5509846836522136
E2F4,0.7182,0.28180000000000005,0.9355504607649408,0.00022628979,0.0002085257,0.0,0.25,0.062710635,0.076191425,0.6926573,-2.7320948,2.6710472,0.15175097,0.53846157,0.1377431906614786,0.41025641025641024,2.1101081,1.9769937,False,NK cell vs cDC,NK cell,cDC,0.5500590112266623
TEN1,0.718,0.28200000000000003,0.9345624765766947,0.00015127576,0.000121084486,0.0,0.25,0.26193243,0.26850843,0.63750273,-2.3987656,2.4221735,0.095719844,0.34871796,0.09416342412451362,0.27692307692307694,1.4396219,1.2095988,False,NK cell vs cDC,NK cell,cDC,0.5497508916806388
AKT1S1,0.7154,0.28459999999999996,0.9217571200103257,7.204801e-05,7.8478944e-05,0.0,0.25,-0.17741647,-0.16475058,0.6769116,-2.7964115,2.331913,0.045136187,0.17435898,0.0443579766536965,0.15384615384615385,0.66980773,0.59401286,False,NK cell vs cDC,NK cell,cDC,0.5457651042517345
COPA,0.7154,0.28459999999999996,0.9217571200103257,0.00029047288,0.00023592774,0.0,0.25,0.3003237,0.3042307,0.63844407,-2.3109245,3.7952309,0.15564202,0.46153846,0.1431906614785992,0.358974358974359,2.226128,1.9213638,False,NK cell vs cDC,NK cell,cDC,0.5457651042517345
STX6,0.7152,0.28480000000000005,0.9207750231912275,6.0431557e-05,7.0344315e-05,0.0,0.25,-0.23506485,-0.24868584,0.637717,-2.359581,2.4170275,0.036575876,0.20512821,0.036575875486381325,0.1794871794871795,0.55361843,0.75119066,False,NK cell vs cDC,NK cell,cDC,0.5454600150351812
HSD17B12,0.7146,0.2854,0.9178312195018743,0.00012754873,0.00015889335,0.0,0.25,-0.31915274,-0.30210686,0.63040537,-3.4815073,1.88939,0.075486384,0.3794872,0.0715953307392996,0.3230769230769231,1.1196058,1.5511308,False,NK cell vs cDC,NK cell,cDC,0.5445460312213719
EDEM1,0.7146,0.2854,0.9178312195018743,0.00011757011,9.254155e-05,0.0,0.25,0.33452335,0.34935045,0.5876556,-2.6381054,2.525382,0.0692607,0.20512821,0.06536964980544747,0.18974358974358974,0.93477273,0.78862125,False,NK cell vs cDC,NK cell,cDC,0.5445460312213719
DBP,0.714,0.28600000000000003,0.9148911305602996,0.00012810057,0.00012208743,0.0,0.25,0.06679781,0.03743553,0.6979365,-2.3648968,3.0516748,0.09182879,0.32820514,0.08793774319066149,0.2717948717948718,1.3016126,1.1049438,False,NK cell vs cDC,NK cell,cDC,0.543633966870957
