"","DZQV_mDC_rep4","925L_mDC_rep2","9JD4_mDC_rep1","G4YW_mDC_rep3","DZQV_NK_rep4","925L_NK_rep2","9JD4_NK_rep1","G4YW_NK_rep3"
"AC112907.3",5.01624776636329,4.44110020932732,5.15848073987736,5.01768433738405,5.98656532698061,6.81917630948543,5.6895702681748,6.39250322026282
"EIF4A2",12.6219824725405,12.6264321756881,12.7288194907125,12.7702585463818,13.4913055404926,13.4429299436517,13.3986532574212,13.1572139377005
"RFC4",5.89520224802386,6.48511831480369,6.67166421117776,6.2740633447782,7.49390562509675,7.22426888726052,7.3218515625064,7.67137958646111
"AC112907.1",0,0,0,0,0,0,0,0
"LINC02043",-2.11575932202168,-2.11592377412541,-2.11707245143874,-2.11411354959647,-2.11303915569872,-2.11742603980082,-2.11464314138565,-2.08699130151776
"ADIPOQ",0,0,0,0,0,0,0,0
"ADIPOQ-AS1",0,0,0,0,0,0,0,0
"ST6GAL1",10.9779700764853,10.3792719508475,10.848088442852,11.1541383113506,12.172822640426,12.2881611619163,11.9907169080169,11.8235414237249
"RPL39L",2.12883353192492,2.56204650520258,1.78195733541428,1.83086686559566,2.7668223117947,1.94134497841161,3.29221069082529,3.07855438475327
"AC007920.1",0,0,0,0,0,0,0,0
"RTP1",0,0,0,0,0,0,0,0
"MASP1",0,0,0,0,0,0,0,0
"AC007920.2",0,0,0,0,0,0,0,0
"RTP4",6.70922606326517,5.28254043964263,5.66504781294409,6.04907790757282,6.86907047473409,6.20658697350778,6.669495180065,6.88001749484286
"LINC02041",0,0,0,0,0,0,0,0
"SST",0,0,0,0,0,0,0,0
"RTP2",0,0,0,0,0,0,0,0
"AC072022.1",2.14152449008568,2.19455711919916,1.29972078327461,1.20663875503795,1.05033921680087,1.04204822377738,1.04708650701388,1.04080042428167
"BCL6",11.3135725941138,11.4177353575868,10.7477405287352,10.7214966018641,7.17221224768641,7.63955362502448,7.88702303948807,8.2458301523982
"AC072022.2",4.13232039802499,3.83082820061506,3.68078405661611,2.94356729397409,2.73707983987723,3.22160951630142,2.35033514628079,2.4075975697618
"AC108681.1",0,0,0,0,0,0,0,0
"AC068295.1",0,0,0,0,0,0,0,0
"LINC01991",0,0,0,0,0,0,0,0
"AC092941.1",0,0,0,0,0,0,0,0
"AC092941.2",0,0,0,0,0,0,0,0
"AC022498.1",0,0,0,0,0,0,0,0
"LPP-AS2",3.99210538592854,4.08938209336114,2.6283857827123,3.34693739201482,2.91241194819527,2.47749544822793,2.96095413843174,3.51350518233372
"LPP",10.5957040112862,11.0036932750559,10.4554347500657,10.7281770054142,10.6346380397005,11.2870342267863,11.0249751271913,11.1646602696388
"LPP-AS1",1.08081119838776,0.849092265275274,1.06150383189705,0.857907531710987,0.863438713743169,2.49239689872442,1.70002763364765,1.98949715059751
"TPRG1-AS1",1.45547144513823,1.68825288097223,1.65132465436347,2.5343300072172,0.925867421217971,0.906126071390154,0.918237119209067,1.25924029697063
"TPRG1",3.55730594447266,1.45545185559571,2.12882994847735,4.11887390692316,3.94829660590442,7.07866232938613,6.58091561529959,6.82475585057254
"TPRG1-AS2",0,0,0,0,0,0,0,0
"TP63",0.985358115132055,0.294301763520904,2.13775627407233,3.13982768751961,0.331614690614262,0.275452816296317,0.310698114890171,0.266114865947558
"P3H2",6.42005692603402,7.25525520777917,7.88181147091829,7.95915728406339,1.5707377519142,1.32024235413311,4.26571073059841,2.00713153878107
"P3H2-AS1",-2.11575932202168,-2.11592377412541,-2.11707245143874,-2.11411354959647,-2.11303915569872,-2.11742603980082,-2.11464314138565,-2.08699130151776
"CLDN1",0,0,0,0,0,0,0,0
"CLDN16",0,0,0,0,0,0,0,0
"TMEM207",0,0,0,0,0,0,0,0
"IL1RAP",7.56080133426817,6.91353202609542,8.04419346325861,7.57007647683177,7.76836237097734,7.91510570214057,7.80863220357304,7.27351756070487
"AC108747.1",0,0,0,0,0,0,0,0
"LINC02013",0,0,0,0,0,0,0,0
"GMNC",0,0,0,0,0,0,0,0
"OSTN",-1.45137040293312,-1.45183726488734,-1.45509823706775,-1.44669823083427,-1.44364814133507,-1.45610203665418,-1.44820168534796,-1.19959258156493
"OSTN-AS1",-2.11689087540389,-2.1171025762118,-2.11858127979626,-2.07461774822575,-2.11338917858668,-2.1190364575667,-2.1154540051112,-2.12001202830743
"UTS2B",-0.425136486286057,-0.594160642780426,-0.595088556735801,0.0829581519466356,-0.591583266522079,-0.595363463064019,-0.414193453435487,-0.595936118218565
"CCDC50",10.7411068659102,10.8149752151151,10.3509997534992,10.6917524339268,8.87209070488216,8.66177026995539,8.746763521752,8.71106972835162
"AC073365.1",0,0,0,0,0,0,0,0
"PYDC2",0,0,0,0,0,0,0,0
"AC026320.1",0,0,0,0,0,0,0,0
"AC026320.3",0,0,0,0,0,0,0,0
"FGF12",0,0,0,0,0,0,0,0
"FGF12-AS1",0,0,0,0,0,0,0,0
"FGF12-AS2",0,0,0,0,0,0,0,0
"FGF12-AS3",0,0,0,0,0,0,0,0
"MB21D2",4.81355768061166,4.07784445902605,4.48009719228399,3.89688210545399,2.92086266616297,3.1496023854793,1.70676012418128,1.93661630988367
"AC092966.1",0,0,0,0,0,0,0,0
"PLAAT1",0,0,0,0,0,0,0,0
"ATP13A5",0,0,0,0,0,0,0,0
"ATP13A5-AS1",0,0,0,0,0,0,0,0
"ATP13A4",1.66339090121451,1.26375574570178,1.2335215195476,2.02737035236279,3.0919918859645,5.1425197310634,4.26827361596534,4.42664577192524
"ATP13A4-AS1",-1.23882714410125,-1.23956809524418,-1.24474354602211,-1.23141199445083,-1.22657123310788,-1.24633666459628,-0.728501769299793,-1.24969869865054
"OPA1",10.4464420271283,9.55681999920466,10.1200982815277,10.2687266242812,10.4280507487731,10.4215562514044,10.4167675986968,10.2527771942368
"OPA1-AS1",2.51627956558174,1.8211602523687,1.97788283960014,2.57938089572547,3.56809300105735,2.90252837928993,2.45245266964967,2.09531748336118
"AC069421.2",0,0,0,0,0,0,0,0
"AC069421.3",0,0,0,0,0,0,0,0
"LINC02038",0,0,0,0,0,0,0,0
"LINC02026",-1.43263546918733,-1.43322733318237,-1.43736142893585,-1.0899255952552,-1.42284557613901,-1.43863399532956,-1.42861832914809,-1.44136145396216
"AC024559.1",0,0,0,0,0,0,0,0
"LINC02028",-2.11604210437627,-2.11621833400783,-2.08402278945419,-2.11427846705247,-2.1131271285384,-2.11782818709251,-2.11484598649287,-2.11864029770226
"AC024559.2",0,0,0,0,0,0,0,0
"AC080129.1",0,0,0,0,0,0,0,0
"AC080129.2",0,0,0,0,0,0,0,0
"HES1",1.51260958351653,1.4282027154815,1.38839370480139,0.531768383588886,0.534998772917128,0.522719194927282,0.530230339596544,0.520834572898376
"LINC02036",0,0,0,0,0,0,0,0
"LINC02037",0,0,0,0,0,0,0,0
"LINC02048",0,0,0,0,0,0,0,0
"LINC00887",0,0,0,0,0,0,0,0
"AC117469.1",0,0,0,0,0,0,0,0
"CPN2",0,0,0,0,0,0,0,0
"LRRC15",0,0,0,0,0,0,0,0
"GP5",-0.849480906550349,-0.0268059913669281,-0.850744325670261,-0.847796345283991,-0.846047937965695,-0.851072515166452,-0.848350835555464,-0.851759009707932
"ATP13A3",8.61856829252154,9.09741624958374,9.17393766056878,8.90309063591773,8.90010180294405,9.54328931534274,9.14478273334354,8.76240251447828
"LINC00884",5.41845257691818,4.45513433365026,5.50824730266369,5.50113155282946,2.34318549563252,1.44594492817792,1.54815731023315,3.87182567246978
"AC108676.1",-0.81447713659443,-0.074658411955041,-0.815505246500295,-0.813091338172366,-0.81003432873626,-0.815770742048173,-0.625079244790926,-0.816324009254625
"TMEM44-AS1",6.77882728433017,6.21806733293972,6.25665819228722,6.49973371416084,5.18219507021496,4.85740868162111,5.44569556787694,5.42166527434793
"TMEM44",1.67982069701929,1.67766713241967,2.86530992498621,3.83729867512242,2.58917768065374,3.32567081026375,3.62834809070638,3.43727012793829
"AC046143.1",0.363244524542849,0.362822623470814,0.359961559803202,0.367640202429183,0.370683336668965,1.22963892740516,1.55556273309864,0.820013159429562
"AC046143.2",-0.868088135438055,-1.13312987315033,-1.13756481424039,-1.12483451309756,-0.834030936963238,-1.13770070634502,-1.12726136927038,-1.13798343056727
"LSG1",9.53132901069709,8.83669024926603,9.35162213049586,9.30036188994908,9.64209811588989,9.73441132555574,9.78168692680647,9.37182121876225
"FAM43A",6.20514330114222,5.14421353188953,7.75634841973914,5.55719834245896,3.94356054099358,7.36416602841478,6.79005718046979,7.15918303088032
"AC106706.1",0,0,0,0,0,0,0,0
"AC106706.2",0,0,0,0,0,0,0,0
"LINC01968",0,0,0,0,0,0,0,0
"LINC01972",0,0,0,0,0,0,0,0
"AC090505.2",0,0,0,0,0,0,0,0
"XXYLT1",7.78272570659313,8.08774367992527,8.28421570655985,7.66254745531068,7.06629434699009,7.08263448077507,7.19609316124685,6.95725489827402
"XXYLT1-AS1",-1.21041965540781,-1.21122964851454,-1.21688734874793,-1.20231356074902,-0.630830421430051,-1.21862891440388,-1.20492201445007,-1.22068766303838
"XXYLT1-AS2",0.990539070594797,1.32134803165385,0.854423416069671,0.441999870584691,0.444228724346264,0.596461714204543,0.625817370739718,0.434518394816392
"AC090018.2",0.546116336937132,0.545728323007965,1.09804953027661,0.550165826344149,0.767091117250613,1.42389012930504,0.548829364293382,1.46417574024126
"ACAP2",11.38692629213,11.5334279064907,11.5183989957105,11.4598505185312,11.1515400092586,11.422544307406,11.2060509715602,11.1291891173296
"ACAP2-IT1",3.89002354332191,4.91969707186011,3.87283334905245,4.2897871394706,3.03991296348521,3.46600178893002,3.82832438231983,3.96133319490561
"PPP1R2",10.8582945173602,10.6372109708423,10.754218934893,10.8324662381095,11.0276052796549,10.7785091012698,10.8835575734291,10.7764626889281
"AC069213.1",4.82589507642068,3.70039615269527,4.42158709299067,3.0711954219165,3.11989240399424,3.55409576399663,3.83383863704312,3.5794117300647
"APOD",0,0,0,0,0,0,0,0
"AC233280.1",-0.795248950018113,-1.26090871164909,-1.26576963482479,-1.25324828146225,-1.24870170764489,-1.26726593482475,-1.25548938518375,-1.27047291590804
"MUC20",5.10010377847275,5.6023843887134,2.12236158852334,5.69547118879977,5.56118887688858,6.52304234331679,2.98958905860739,5.95417805260981
"MUC4",-0.315251324667405,-0.315406425097116,0.264697424512262,-0.313626924943136,-0.312493338355531,-0.167024456305592,-0.314164176486372,0.150610375951264
"LINC01983",-2.11672800192633,-2.11693288469924,-2.11836396516458,-2.11467761515469,-2.11333908073662,-2.11880448348236,-2.0764761151537,-2.11974863499745
"TNK2",7.58290659342118,8.22693058996974,7.57357589399818,7.4299571655621,6.50856955485463,7.12189703394322,6.96996314706398,6.93757356075835
"AC124944.3",3.66842111129505,3.72789664563097,4.71866168207107,4.26956733471227,2.03841492786244,3.57754260488447,4.40517480521186,4.29762965302283
"TNK2-AS1",4.80470224559178,3.64770131797232,4.27444112841138,4.56858005252098,3.80478042395874,4.17194849962201,2.82129261693171,3.84143043381362
"AC024937.3",0,0,0,0,0,0,0,0
"TFRC",10.1459517577562,9.78670405654489,10.2522945977578,10.2551679603723,9.45140800839424,9.527372444431,9.94383489658341,9.88024107760027
